time,percentage,adc,dry_value,wet_value
2024-08-12T20:00:20.188626,91.44,7163,16700,6270
2024-08-12T21:00:21.236713,91.65,7141,16700,6270
2024-08-12T22:00:52.116619,92.43,7060,16700,6270
2024-08-12T23:00:52.116639,92.94,7006,16700,6270
2024-08-13T00:00:52.116638,92.89,7012,16700,6270
2024-08-13T01:00:52.116697,92.97,7003,16700,6270
2024-08-13T02:00:52.116664,95.47,6743,16700,6270
2024-08-13T03:00:52.120626,96.25,6661,16700,6270
2024-08-13T04:00:52.116629,96.73,6611,16700,6270
2024-08-13T05:00:52.116632,97.21,6561,16700,6270
2024-08-13T06:00:52.116648,97.81,6498,16700,6270
2024-08-13T07:00:52.116708,97.96,6483,16700,6270
2024-08-13T08:00:52.136596,97.96,6483,16700,6270
2024-08-13T09:00:52.166664,96.31,6655,16700,6270
2024-08-13T10:00:52.153265,96.59,6626,16700,6270
2024-08-13T11:00:52.124644,95.22,6769,16700,6270
2024-08-13T12:00:52.248508,94.7,6823,16700,6270
2024-08-13T13:00:19.580807,93.73,6924,16700,6270
2024-08-13T14:00:22.685259,92.72,7029,16700,6270
2024-08-13T15:00:23.124645,92.73,7028,16700,6270
2024-08-13T16:00:23.066865,92.35,7068,16700,6270
2024-08-13T17:00:23.233699,94.3,6864,16700,6270
2024-08-13T18:00:22.301098,94.13,6882,16700,6270
2024-08-13T19:00:22.719750,93.84,6912,16700,6270
2024-08-13T20:00:22.808919,95.26,6764,16700,6270
2024-08-13T21:00:24.116687,96.17,6669,16700,6270
2024-08-13T22:00:23.764665,96.55,6630,16700,6270
2024-08-13T23:00:23.736667,96.66,6618,16700,6270
2024-08-14T00:00:32.596628,96.7,6614,16700,6270
2024-08-14T01:00:24.372668,98.27,6450,16700,6270
2024-08-14T02:00:24.157381,98.38,6439,16700,6270
2024-08-14T03:00:23.132766,97.76,6504,16700,6270
2024-08-14T04:00:23.804916,98.56,6420,16700,6270
2024-08-14T05:00:24.319360,98.97,6377,16700,6270
