time,mean_gray
2024-06-10T17:50:14.998687,29
2024-06-10T18:00:15.030392,28
2024-06-10T18:10:14.998552,29
2024-06-10T18:20:14.998516,29
2024-06-10T18:30:15.030566,28
2024-06-10T18:40:14.998701,29
2024-06-10T18:50:14.998769,29
2024-06-10T19:00:15.062486,29
2024-06-10T19:10:14.998544,29
2024-06-10T19:20:15.030956,29
2024-06-10T19:30:15.030666,28
2024-06-10T19:40:15.030396,28
2024-06-10T19:50:15.030902,28
2024-06-10T20:00:15.030587,28
2024-06-10T20:10:15.030654,28
2024-06-10T20:20:15.030691,28
2024-06-10T20:30:15.062796,29
2024-06-10T20:40:15.031080,28
2024-06-10T20:50:14.998994,29
2024-06-10T21:00:15.030755,29
2024-06-10T21:10:15.063174,29
2024-06-10T21:20:15.030990,28
2024-06-10T21:30:15.030714,28
2024-06-10T21:40:15.031037,28
2024-06-10T21:50:15.030851,28
2024-06-10T22:00:15.062865,28
2024-06-10T22:10:15.030790,28
2024-06-10T22:20:15.031258,28
2024-06-10T22:30:15.031069,28
2024-06-10T22:40:15.031204,29
2024-06-10T22:50:15.031002,29
2024-06-10T23:00:15.030717,29
2024-06-10T23:10:15.030848,29
2024-06-10T23:20:15.030895,28
2024-06-10T23:30:15.031007,29
2024-06-10T23:40:15.031183,29
2024-06-10T23:50:15.031199,29
2024-06-11T00:00:15.029550,28
2024-06-11T00:10:15.029872,29
2024-06-11T00:20:15.076042,29
2024-06-11T00:30:14.998133,29
2024-06-11T00:40:15.030188,28
2024-06-11T00:50:15.030284,29
2024-06-11T01:00:15.029947,28
2024-06-11T01:10:15.029938,29
2024-06-11T01:20:15.030079,28
2024-06-11T01:30:14.998233,29
2024-06-11T01:40:15.030000,28
2024-06-11T01:50:15.030028,29
2024-06-11T02:00:15.030045,29
2024-06-11T02:10:14.997880,28
2024-06-11T02:20:15.029966,28
2024-06-11T02:30:15.030169,28
2024-06-11T02:40:15.030103,28
2024-06-11T02:50:14.998391,28
2024-06-11T03:00:15.030066,28
2024-06-11T03:10:15.062129,28
2024-06-11T03:20:15.030038,28
2024-06-11T03:30:14.998200,28
2024-06-11T03:40:15.030100,28
2024-06-11T03:50:15.030317,28
2024-06-11T04:00:15.061723,28
2024-06-11T04:10:15.030113,28
2024-06-11T04:20:15.030181,28
2024-06-11T04:30:15.030159,28
2024-06-11T04:40:15.030416,28
2024-06-11T04:50:15.030862,28
2024-06-11T05:00:15.062733,28
2024-06-11T05:10:14.880360,28
2024-06-11T05:20:15.030318,28
2024-06-11T05:30:15.030261,28
2024-06-11T05:40:15.030387,28
2024-06-11T05:50:15.030501,28
2024-06-11T06:00:15.030142,28
2024-06-11T06:10:15.030266,28
2024-06-11T06:20:15.030284,28
2024-06-11T06:30:15.030364,28
2024-06-11T06:40:15.062832,28
2024-06-11T06:50:14.998435,28
2024-06-11T07:00:15.062159,28
2024-06-11T07:10:14.998185,28
2024-06-11T07:20:15.030217,28
2024-06-11T07:30:15.030393,28
2024-06-11T07:40:15.030239,28
2024-06-11T07:50:15.030261,28
2024-06-11T08:00:15.030165,28
2024-06-11T08:10:15.030254,28
2024-06-11T08:20:15.030407,28
2024-06-11T08:30:15.030554,28
2024-06-11T08:40:15.030345,28
2024-06-11T08:50:15.030519,28
2024-06-11T09:00:15.030350,28
2024-06-11T09:10:15.030293,28
2024-06-11T09:20:15.030554,28
2024-06-11T09:30:15.030719,28
2024-06-11T09:40:15.031061,28
2024-06-11T09:50:15.030748,28
2024-06-11T10:00:15.030636,28
2024-06-11T10:10:15.030315,28
2024-06-11T10:20:15.030511,28
2024-06-11T10:30:15.030949,28
2024-06-11T10:40:15.076596,28
2024-06-11T10:50:15.030582,28
2024-06-11T11:00:14.834754,28
2024-06-11T11:10:15.030292,28
2024-06-11T11:20:15.030396,28
2024-06-11T11:30:15.030685,28
2024-06-11T11:40:15.030752,28
2024-06-11T11:50:15.030702,28
2024-06-11T12:00:15.062347,28
2024-06-11T12:10:15.030435,28
2024-06-11T12:20:15.030448,28
2024-06-11T12:30:15.030404,28
2024-06-11T12:40:14.998473,28
2024-06-11T12:50:15.030608,28
2024-06-11T13:00:15.030359,28
2024-06-11T13:10:15.031468,28
2024-06-11T13:20:15.030531,28
2024-06-11T13:30:15.030710,28
2024-06-11T13:40:14.998814,28
2024-06-11T13:50:15.031566,28
2024-06-11T14:00:15.030364,28
2024-06-11T14:10:15.062448,28
2024-06-11T14:20:15.030636,28
2024-06-11T14:30:15.030742,28
2024-06-11T14:40:15.030834,28
2024-06-11T14:50:15.030601,28
2024-06-11T15:00:15.030495,28
